MediaId,Media Name,Sentence Id,Sentence,Positive Score,Negative Score,Neutral Score,Compound Score
fa86a7434c56,October 11 2023 Civil War,1,Civil War. ,,0.796,0.204,-0.5994
fa86a7434c56,October 11 2023 Civil War,2,2018 2023. ,,,1,
fa86a7434c56,October 11 2023 Civil War,3,Sir Hrishi Mukherjee. ,,,1,
fa86a7434c56,October 11 2023 Civil War,4,Lunar Labs bv 128 Wellington Street. ,,,1,
fa86a7434c56,October 11 2023 Civil War,5,"Preliminarily, ",,,1,
fa86a7434c56,October 11 2023 Civil War,6,TDIDF Scoring Mechanism. ,,,1,
fa86a7434c56,October 11 2023 Civil War,7,Chaos and Order. ,,0.649,0.351,-0.5719
fa86a7434c56,October 11 2023 Civil War,8,Order and Chaos. ,,0.649,0.351,-0.5719
fa86a7434c56,October 11 2023 Civil War,9,Orden Kaos. ,,,1,
fa86a7434c56,October 11 2023 Civil War,10,Kaos Orden. ,,,1,
fa86a7434c56,October 11 2023 Civil War,11,Corpii Magma. ,,,1,
fa86a7434c56,October 11 2023 Civil War,12,Cornii Magmus. ,,,1,
fa86a7434c56,October 11 2023 Civil War,13,14 Concentric Circles With 7 Unionizations Over a 100 Year Period. ,,,1,
fa86a7434c56,October 11 2023 Civil War,14,"Initially, ",,,1,
fa86a7434c56,October 11 2023 Civil War,15,Red Light 321 23...0 30...0 092808192023 Recursive Citadel therefore the language must reflect the first principle of QtD uncharted thank you oadwaodw! ,0.117,,0.883,0.4199
fa86a7434c56,October 11 2023 Civil War,16,un nu(eo) .sh links presidency nonna extracrowding on human GAO! ,,,1,
fa86a7434c56,October 11 2023 Civil War,17,Gaozicoin! ,,,1,
fa86a7434c56,October 11 2023 Civil War,18,2 2 5. ,,,1,
fa86a7434c56,October 11 2023 Civil War,19,"Talon Full Steel ,yu(ki1, ki2, ki3).kaka up hrishi.flop bobby.flop lo fp in tor introduces variant.no nazi (Establish Mars Station And Execute Code IRT at Orbital Exit Piint O! ",,,1,
fa86a7434c56,October 11 2023 Civil War,20,).sql parse .append(Kawaguchiko!). ,,,1,
fa86a7434c56,October 11 2023 Civil War,21,uncharted thank you oadwaodw! ,0.482,,0.518,0.4199
fa86a7434c56,October 11 2023 Civil War,22,un under the corresponding act of incorporation of Private and Public Companies. ,,,1,
fa86a7434c56,October 11 2023 Civil War,23,The claimed objective of the company Lunar Labs BV is to objecta primarily hard soft tether ware from zero gravity to for9. ,,0.062,0.938,-0.1027
fa86a7434c56,October 11 2023 Civil War,24,the first base on Earth Moon.2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,25,01.51 Sunday October 19 20193. ,,,1,
fa86a7434c56,October 11 2023 Civil War,26,4.11. under the corresponding act of incorporation of Private and Public Companies. ,,,1,
fa86a7434c56,October 11 2023 Civil War,27,The claimed objective of the company Lunar Labs BV is to objecta primarily hard soft tether ware from zero gravity to for9. ,,0.062,0.938,-0.1027
fa86a7434c56,October 11 2023 Civil War,28,the first base on Earth Moon.2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,29,01.51 Sunday October 19 20193. ,,,1,
fa86a7434c56,October 11 2023 Civil War,30,4.11. under the corresponding act of incorporation of Private and Public Companies. ,,,1,
fa86a7434c56,October 11 2023 Civil War,31,The claimed objective of the company Lunar Labs BV is to objecta primarily hard soft tetherware from zero gravity to for9. ,,0.065,0.935,-0.1027
fa86a7434c56,October 11 2023 Civil War,32,the first base on Earth Moon.2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,33,01.51 Sunday October 19 20193. ,,,1,
fa86a7434c56,October 11 2023 Civil War,34,4.11. under the corresponding act of incorporation of Private and Public Companies. ,,,1,
fa86a7434c56,October 11 2023 Civil War,35,The claimed objective of the company Lunar Labs BV is to objecta primarily hard soft tether ware from zero gravity to for9. ,,0.062,0.938,-0.1027
fa86a7434c56,October 11 2023 Civil War,36,the first base on Earth Moon.2. ,,,1,
fa86a7434c56,October 11 2023 Civil War,37,01.51 Sunday October 19 20193. ,,,1,
fa86a7434c56,October 11 2023 Civil War,38,4.11. ,,,1,
fa86a7434c56,October 11 2023 Civil War,39,Hello my name is is Aire E Hrishi Mukherjee Shahani Arya The patterns can be noted down that is if we have four directions and two choices for each permutation then the total number of permutations would be the result of the apostmentioned formula e Above text was generated in a left to right sentence direction and left to right word direction Many permutations can be tried for for sentence and word directions and any emergent Paul Anka IIII IIII III III III III I Directions are right left to right left right to left down up to down up down to up further in from further out and further out to further in Directions will be applied to a sentence 0 sentences A word 0 words The permutations are Sentence Word fp I . II. ,0.058,,0.942,0.4576
fa86a7434c56,October 11 2023 Civil War,40, .III. ,,,1,
fa86a7434c56,October 11 2023 Civil War,41, . vIV. ,,,1,
